VB scenario,BS,EI,GS,JOIN,SSWI
Linf55,0.28 (0.07),0.46 (0.23),0.27 (0.11),0.47 (0.07),0.47 (0.13)
Linf56,0.25 (0.07),0.42 (0.23),0.24 (0.09),0.42 (0.07),0.42 (0.11)
Linf57,0.23 (0.06),0.39 (0.23),0.22 (0.08),0.38 (0.07),0.38 (0.1)
Linf58,0.21 (0.06),0.36 (0.23),0.2 (0.08),0.35 (0.06),0.34 (0.09)
Linf59,0.19 (0.05),0.34 (0.23),0.18 (0.07),0.32 (0.06),0.32 (0.08)
Linf60,0.17 (0.05),0.32 (0.23),0.17 (0.06),0.29 (0.06),0.29 (0.07)
Linf61,0.16 (0.04),0.3 (0.21),0.15 (0.06),0.27 (0.06),0.27 (0.07)
Linf62,0.15 (0.04),0.27 (0.18),0.14 (0.05),0.25 (0.05),0.25 (0.06)
Linf63,0.14 (0.04),0.25 (0.17),0.13 (0.05),0.23 (0.05),0.23 (0.06)
Linf64,0.13 (0.04),0.24 (0.15),0.13 (0.05),0.22 (0.05),0.22 (0.05)
Linf65,0.12 (0.04),0.22 (0.14),0.12 (0.04),0.21 (0.05),0.21 (0.05)
